Wave,Mod,Decision,Source,Notes
0.10.0 Scott List,Create Ultimine,Added,CurseForge,FTB Ultimine integration for Create encasing and bulk interactions
0.10.0 Scott List,Passive Shield,Added,CurseForge,Shield hidden until raised with passive damage bonus disabled
0.10.0 Scott List,Exposure,Added,CurseForge,In-game photography alongside Immersive Paintings
0.10.0 Scott List,Haven Trowel,Added,CurseForge,Maintained NeoForge replacement for unavailable Trowels Fork
0.10.0 Scott List,Sawmill,Added,CurseForge,Automatic modded woodcutting recipes
0.10.0 Scott List,Raw's Visual Keybinder,Added Clients,CurseForge,Client keybinding conflict UI
0.10.0 Scott List,Simple Voice Chat,Added,CurseForge,Proximity voice on UDP 24454
0.10.0 Scott List,Ok Zoomer,Added Clients,CurseForge,Configurable client zoom
0.10.0 Scott List,Create Contraption Terminals,Added,CurseForge,Toms storage terminals on Create contraptions
0.10.0 Scott List,Create Big Cannons,Added,CurseForge,Create artillery engineering
0.10.0 Scott List,Create Radars,Added,CurseForge,Radar and Big Cannons targeting integration
0.10.0 Scott List,Create Blocks and Bogies,Added,CurseForge,Expanded train bogie palette
0.10.0 Scott List,Create Escalated,Added,CurseForge,Rotational escalators and walkways
0.10.0 Scott List,Create Live Radio,Added,Modrinth,Internet radio with Aeronautics moving-structure support
0.10.0 Scott List,AstikorCarts Redux,Added,CurseForge,Horse carts and plows
0.10.0 Scott List,Parcool,Added Beta,CurseForge,Parkour movement pending player feel testing
0.10.0 Scott List,Immersive Aircraft,Added,CurseForge,Simple rustic aircraft alongside build-your-own Aeronautics
0.10.0 Scott List,Mutants and Zombies,Added,CurseForge,Zombie and mutant variety
0.10.0 Scott List,Undead Nights,Added,CurseForge,Horde nights tuned for seven-day grace and capped load
0.10.0 Scott List,Enhanced Hordes,Added Beta,CurseForge,Cooperative zombie behavior
0.10.0 Scott List,Bad Mobs,Added,CurseForge,Supported replacement for unavailable You Shall Not Spawn
0.10.0 Scott List,You Shall Not Spawn,Skipped,CurseForge,No compatible NeoForge 1.21.1 file
0.10.0 Scott List,Immersive Vehicles,Skipped,CurseForge,Framework contains no vehicles without separate content packs and overlaps Create transport
